invoice_id,branch,city,customer_type,gender,product_line,unit_price,quantity,tax_5percent,total,date,time,payment,cogs,gross_margin_percentage,gross_income,rating,tax_5,year,month,month_name,day_name,day,hour,calculated_sales,sales_difference
INV-10092,C,Mumbai,Normal,Female,Sports And Travel,66.52,8.0,26.61,558.77,2026-04-02,14:51:00,Upi,532.16,4.7619,26.61,4.5,26.61,2026,4,April,Thursday,2,14,558.77,0.0
INV-10414,B,Nashik,Member,Male,Food And Beverages,30.27,4.0,6.05,127.13,2027-02-18,14:48:00,Cash,121.08,4.7619,6.05,4.4,6.05,2027,2,February,Thursday,18,14,127.13,0.0
INV-10103,A,Pune,Member,Male,Electronic Accessories,96.16,9.0,43.27,908.71,2026-04-13,10:17:00,Upi,865.44,4.7619,43.27,4.2,43.27,2026,4,April,Monday,13,10,908.71,0.0
INV-10072,A,Pune,Normal,Male,Health And Beauty,15.68,2.0,1.57,32.93,2026-03-13,18:12:00,Cash,31.36,4.7619,1.57,4.1,1.57,2026,3,March,Friday,13,18,32.93,0.0
INV-10403,B,Nashik,Member,Male,Home And Lifestyle,53.28,3.0,7.99,167.83,2027-02-07,19:54:00,Credit Card,159.84,4.7619,7.99,3.9,7.99,2027,2,February,Sunday,7,19,167.83,0.0
INV-10033,A,Pune,Normal,Male,Fashion Accessories,63.35,2.0,6.34,133.04,2026-02-02,14:42:00,Upi,126.7,4.7619,6.34,4.3,6.34,2026,2,February,Monday,2,14,133.04,0.0
INV-10207,A,Pune,Member,Male,Food And Beverages,44.77,5.0,11.19,235.04,2026-07-26,12:56:00,Credit Card,223.85,4.7619,11.19,4.9,11.19,2026,7,July,Sunday,26,12,235.04,0.0
INV-10051,C,Mumbai,Normal,Female,Health And Beauty,48.04,6.0,14.41,302.65,2026-02-20,13:59:00,Upi,288.24,4.7619,14.41,4.8,14.41,2026,2,February,Friday,20,13,302.65,0.0
INV-10050,A,Pune,Normal,Male,Sports And Travel,46.85,4.0,9.37,196.77,2026-02-19,16:07:00,Cash,187.4,4.7619,9.37,5.0,9.37,2026,2,February,Thursday,19,16,196.77,0.0
INV-10280,C,Mumbai,Normal,Male,Home And Lifestyle,98.06,1.0,4.9,102.96,2026-10-07,10:18:00,Credit Card,98.06,4.7619,4.9,4.9,4.9,2026,10,October,Wednesday,7,10,102.96,0.0
INV-10263,A,Pune,Member,Female,Health And Beauty,43.84,1.0,2.19,46.03,2026-09-20,21:30:00,Credit Card,43.84,4.7619,2.19,3.7,2.19,2026,9,September,Sunday,20,21,46.03,0.0
INV-10153,A,Pune,Normal,Male,Home And Lifestyle,25.64,4.0,5.13,107.69,2026-06-02,15:40:00,Upi,102.56,4.7619,5.13,4.7,5.13,2026,6,June,Tuesday,2,15,107.69,0.0
INV-10306,C,Mumbai,Normal,Male,Health And Beauty,49.04,7.0,17.16,360.44,2026-11-02,16:41:00,Upi,343.28,4.7619,17.16,5.0,17.16,2026,11,November,Monday,2,16,360.44,0.0
INV-10480,B,Nashik,Normal,Male,Sports And Travel,51.41,3.0,7.71,161.94,2027-04-25,14:04:00,Credit Card,154.23,4.7619,7.71,3.3,7.71,2027,4,April,Sunday,25,14,161.94,0.0
INV-10196,B,Nashik,Normal,Female,Sports And Travel,19.19,6.0,5.76,120.9,2026-07-15,09:39:00,Upi,115.14,4.7619,5.76,3.9,5.76,2026,7,July,Wednesday,15,9,120.9,0.0
INV-10398,B,Nashik,Normal,Male,Fashion Accessories,53.765,1.0,0.75,56.45,2027-02-02,15:15:00,Credit Card,53.76,4.7619,2.69,5.0,2.69,2027,2,February,Tuesday,2,15,56.46,-0.01
INV-10464,B,Nashik,Member,Female,Health And Beauty,59.06,4.0,11.81,248.05,2027-04-09,11:49:00,Cash,236.24,4.7619,11.81,3.5,11.81,2027,4,April,Friday,9,11,248.05,0.0
INV-10049,B,Nashik,Normal,Male,Electronic Accessories,25.34,5.0,6.34,133.04,2026-02-18,13:12:00,Upi,126.7,4.7619,6.34,5.0,6.34,2026,2,February,Wednesday,18,13,133.04,0.0
INV-10210,A,Pune,Normal,Male,Sports And Travel,90.05,5.0,22.51,472.76,2026-07-29,12:12:00,Upi,450.25,4.7619,22.51,3.7,22.51,2026,7,July,Wednesday,29,12,472.76,0.0
INV-10334,A,Pune,Member,Male,Food And Beverages,55.18,10.0,27.59,579.39,2026-11-30,18:44:00,Upi,551.8,4.7619,27.59,4.7,27.59,2026,11,November,Monday,30,18,579.39,0.0
INV-10289,A,Pune,Member,Male,Electronic Accessories,75.52,1.0,3.78,79.3,2026-10-16,19:52:00,Credit Card,75.52,4.7619,3.78,4.3,3.78,2026,10,October,Friday,16,19,79.3,0.0
INV-10413,C,Mumbai,Normal,Female,Sports And Travel,15.16,1.0,0.76,15.92,2027-02-17,13:36:00,Upi,15.16,4.7619,0.76,4.8,0.76,2027,2,February,Wednesday,17,13,15.92,0.0
INV-10045,A,Pune,Normal,Female,Sports And Travel,17.99,1.0,0.9,18.89,2026-02-14,15:02:00,Upi,17.99,4.7619,0.9,2.3,0.9,2026,2,February,Saturday,14,15,18.89,0.0
INV-10343,A,Pune,Member,Male,Fashion Accessories,26.05,7.0,9.12,191.47,2026-12-09,17:28:00,Upi,182.35,4.7619,9.12,3.1,9.12,2026,12,December,Wednesday,9,17,191.47,0.0
INV-10119,C,Mumbai,Normal,Male,Sports And Travel,55.55,4.0,11.11,233.31,2026-04-29,09:42:00,Credit Card,222.2,4.7619,11.11,3.3,11.11,2026,4,April,Wednesday,29,9,233.31,0.0
INV-10459,A,Pune,Member,Male,Fashion Accessories,11.98,10.0,5.99,125.79,2027-04-04,16:21:00,Upi,119.8,4.7619,5.99,4.6,5.99,2027,4,April,Sunday,4,16,125.79,0.0
INV-10112,A,Pune,Normal,Male,Home And Lifestyle,84.64,2.0,8.46,177.74,2026-04-22,09:22:00,Credit Card,169.28,4.7619,8.46,3.9,8.46,2026,4,April,Wednesday,22,9,177.74,0.0
INV-10163,B,Nashik,Normal,Male,Fashion Accessories,25.92,3.0,3.89,81.65,2026-06-12,15:44:00,Cash,77.76,4.7619,3.89,5.0,3.89,2026,6,June,Friday,12,15,81.65,0.0
INV-10349,B,Nashik,Normal,Female,Health And Beauty,88.68,6.0,26.6,558.68,2026-12-15,11:44:00,Credit Card,532.08,4.7619,26.6,3.3,26.6,2026,12,December,Tuesday,15,11,558.68,0.0
INV-10087,C,Mumbai,Member,Female,Sports And Travel,60.99,2.0,6.1,128.08,2026-03-28,14:30:00,Cash,121.98,4.7619,6.1,3.8,6.1,2026,3,March,Saturday,28,14,128.08,0.0
INV-10165,A,Pune,Member,Female,Home And Lifestyle,96.74,3.0,14.51,304.73,2026-06-14,17:23:00,Credit Card,290.22,4.7619,14.51,4.1,14.51,2026,6,June,Sunday,14,17,304.73,0.0
INV-10435,A,Pune,Member,Female,Food And Beverages,60.58,3.0,9.09,190.83,2027-03-11,12:31:00,Credit Card,181.74,4.7619,9.09,3.0,9.09,2027,3,March,Thursday,11,12,190.83,0.0
INV-10345,B,Nashik,Member,Male,Fashion Accessories,25.02,4.0,5.0,105.08,2026-12-11,19:55:00,Credit Card,100.08,4.7619,5.0,3.9,5.0,2026,12,December,Friday,11,19,105.08,0.0
INV-10114,C,Mumbai,Member,Male,Sports And Travel,95.75,8.0,38.3,804.3,2026-04-24,16:40:00,Upi,766.0,4.7619,38.3,2.9,38.3,2026,4,April,Friday,24,16,804.3,0.0
INV-10058,A,Pune,Member,Male,Health And Beauty,20.78,5.0,5.2,109.1,2026-02-27,14:10:00,Upi,103.9,4.7619,5.2,5.0,5.2,2026,2,February,Friday,27,14,109.1,0.0
INV-10175,B,Nashik,Member,Male,Health And Beauty,85.09,4.0,17.02,357.38,2026-06-24,19:34:00,Cash,340.36,4.7619,17.02,2.8,17.02,2026,6,June,Wednesday,24,19,357.38,0.0
INV-10217,A,Pune,Normal,Female,Electronic Accessories,13.42,8.0,5.37,112.73,2026-08-05,14:58:00,Upi,107.36,4.7619,5.37,4.2,5.37,2026,8,August,Wednesday,5,14,112.73,0.0
INV-10212,C,Mumbai,Normal,Male,Home And Lifestyle,89.42,9.0,40.24,845.02,2026-07-31,11:08:00,Cash,804.78,4.7619,40.24,4.1,40.24,2026,7,July,Friday,31,11,845.02,0.0
INV-10221,B,Nashik,Normal,Female,Fashion Accessories,19.48,8.0,7.79,163.63,2026-08-09,10:33:00,Credit Card,155.84,4.7619,7.79,4.1,7.79,2026,8,August,Sunday,9,10,163.63,0.0
INV-10004,B,Nashik,Normal,Female,Fashion Accessories,66.88,9.0,30.1,632.02,2026-01-04,11:18:00,Credit Card,601.92,4.7619,30.1,3.2,30.1,2026,1,January,Sunday,4,11,632.02,0.0
INV-10203,A,Pune,Member,Male,Sports And Travel,32.78,5.0,8.2,172.1,2026-07-22,15:31:00,Credit Card,163.9,4.7619,8.2,4.4,8.2,2026,7,July,Wednesday,22,15,172.1,0.0
INV-10432,C,Mumbai,Normal,Female,Electronic Accessories,86.78,5.0,21.7,455.6,2027-03-08,21:54:00,Upi,433.9,4.7619,21.7,3.8,21.7,2027,3,March,Monday,8,21,455.6,0.0
INV-10259,B,Nashik,Normal,Female,Food And Beverages,53.765,3.0,2.09,169.36,2026-09-16,13:05:00,Cash,161.3,4.7619,8.06,3.4,8.06,2026,9,September,Wednesday,16,13,169.36,0.0
INV-10303,B,Nashik,Normal,Male,Fashion Accessories,18.44,5.0,4.61,96.81,2026-10-30,13:27:00,Cash,92.2,4.7619,4.61,3.8,4.61,2026,10,October,Friday,30,13,96.81,0.0
INV-10172,A,Pune,Normal,Female,Food And Beverages,27.07,7.0,9.47,198.96,2026-06-21,14:53:00,Upi,189.49,4.7619,9.47,3.5,9.47,2026,6,June,Sunday,21,14,198.96,0.0
INV-10294,B,Nashik,Normal,Female,Food And Beverages,53.96,7.0,18.89,396.61,2026-10-21,12:46:00,Upi,377.72,4.7619,18.89,4.1,18.89,2026,10,October,Wednesday,21,12,396.61,0.0
INV-10195,A,Pune,Member,Male,Health And Beauty,21.98,9.0,9.89,207.71,2026-07-14,15:27:00,Upi,197.82,4.7619,9.89,4.2,9.89,2026,7,July,Tuesday,14,15,207.71,0.0
INV-10389,C,Mumbai,Member,Male,Electronic Accessories,60.9,7.0,21.32,447.62,2027-01-24,11:35:00,Cash,426.3,4.7619,21.32,4.0,21.32,2027,1,January,Sunday,24,11,447.62,0.0
INV-10101,A,Pune,Member,Male,Fashion Accessories,23.84,2.0,2.38,50.06,2026-04-11,16:17:00,Upi,47.68,4.7619,2.38,5.0,2.38,2026,4,April,Saturday,11,16,50.06,0.0
INV-10029,B,Nashik,Member,Female,Food And Beverages,70.26,8.0,28.1,590.18,2026-01-29,21:30:00,Cash,562.08,4.7619,28.1,4.1,28.1,2026,1,January,Thursday,29,21,590.18,0.0
INV-10052,C,Mumbai,Normal,Male,Electronic Accessories,83.96,6.0,25.19,528.95,2026-02-21,17:00:00,Credit Card,503.76,4.7619,25.19,3.6,25.19,2026,2,February,Saturday,21,17,528.95,0.0
INV-10346,B,Nashik,Member,Female,Electronic Accessories,26.32,6.0,7.9,165.82,2026-12-12,11:20:00,Cash,157.92,4.7619,7.9,3.5,7.9,2026,12,December,Saturday,12,11,165.82,0.0
INV-10209,A,Pune,Member,Female,Sports And Travel,30.43,1.0,1.52,31.95,2026-07-28,19:52:00,Credit Card,30.43,4.7619,1.52,3.6,1.52,2026,7,July,Tuesday,28,19,31.95,0.0
INV-10261,B,Nashik,Member,Male,Home And Lifestyle,63.87,1.0,3.19,67.06,2026-09-18,10:13:00,Credit Card,63.87,4.7619,3.19,4.3,3.19,2026,9,September,Friday,18,10,67.06,0.0
INV-10475,B,Nashik,Member,Female,Food And Beverages,22.69,8.0,9.08,190.6,2027-04-20,17:27:00,Credit Card,181.52,4.7619,9.08,2.7,9.08,2027,4,April,Tuesday,20,17,190.6,0.0
INV-10329,B,Nashik,Normal,Male,Health And Beauty,78.28,3.0,11.74,246.58,2026-11-25,21:19:00,Upi,234.84,4.7619,11.74,3.4,11.74,2026,11,November,Wednesday,25,21,246.58,0.0
INV-10143,B,Nashik,Member,Female,Sports And Travel,16.72,6.0,5.02,105.34,2026-05-23,12:18:00,Upi,100.32,4.7619,5.02,3.3,5.02,2026,5,May,Saturday,23,12,105.34,0.0
INV-10264,B,Nashik,Normal,Female,Health And Beauty,59.51,3.0,8.93,187.46,2026-09-21,11:29:00,Credit Card,178.53,4.7619,8.93,3.7,8.93,2026,9,September,Monday,21,11,187.46,0.0
INV-10073,A,Pune,Member,Female,Home And Lifestyle,20.59,10.0,10.3,216.2,2026-03-14,16:46:00,Credit Card,205.9,4.7619,10.3,4.3,10.3,2026,3,March,Saturday,14,16,216.2,0.0
INV-10323,B,Nashik,Member,Female,Sports And Travel,57.17,3.0,8.58,180.09,2026-11-19,12:52:00,Credit Card,171.51,4.7619,8.58,3.7,8.58,2026,11,November,Thursday,19,12,180.09,0.0
INV-10223,A,Pune,Member,Female,Health And Beauty,55.77,9.0,25.1,527.03,2026-08-11,20:22:00,Cash,501.93,4.7619,25.1,4.2,25.1,2026,8,August,Tuesday,11,20,527.03,0.0
INV-10360,B,Nashik,Member,Male,Electronic Accessories,38.99,5.0,9.75,204.7,2026-12-26,15:45:00,Upi,194.95,4.7619,9.75,3.9,9.75,2026,12,December,Saturday,26,15,204.7,0.0
INV-10189,B,Nashik,Normal,Female,Health And Beauty,68.65,9.0,30.89,648.74,2026-07-08,12:23:00,Cash,617.85,4.7619,30.89,3.8,30.89,2026,7,July,Wednesday,8,12,648.74,0.0
INV-10375,A,Pune,Member,Female,Fashion Accessories,82.12,6.0,24.64,517.36,2027-01-10,15:44:00,Upi,492.72,4.7619,24.64,3.6,24.64,2027,1,January,Sunday,10,15,517.36,0.0
INV-10003,C,Mumbai,Member,Female,Fashion Accessories,33.12,2.0,3.31,69.55,2026-01-03,14:16:00,Cash,66.24,4.7619,3.31,4.0,3.31,2026,1,January,Saturday,3,14,69.55,0.0
INV-10126,B,Nashik,Member,Female,Health And Beauty,88.85,10.0,44.42,932.92,2026-05-06,14:47:00,Upi,888.5,4.7619,44.42,3.8,44.42,2026,5,May,Wednesday,6,14,932.92,0.0
INV-10270,A,Pune,Normal,Female,Food And Beverages,54.64,6.0,16.39,344.23,2026-09-27,19:12:00,Upi,327.84,4.7619,16.39,3.7,16.39,2026,9,September,Sunday,27,19,344.23,0.0
INV-10419,C,Mumbai,Normal,Male,Fashion Accessories,11.21,8.0,4.48,94.16,2027-02-23,16:14:00,Cash,89.68,4.7619,4.48,3.7,4.48,2027,2,February,Tuesday,23,16,94.16,0.0
INV-10493,A,Pune,Member,Female,Electronic Accessories,77.87,6.0,23.36,490.58,2027-05-08,16:25:00,Cash,467.22,4.7619,23.36,2.7,23.36,2027,5,May,Saturday,8,16,490.58,0.0
INV-10192,C,Mumbai,Member,Male,Sports And Travel,87.36,4.0,17.47,366.91,2026-07-11,18:59:00,Credit Card,349.44,4.7619,17.47,3.6,17.47,2026,7,July,Saturday,11,18,366.91,0.0
INV-10391,C,Mumbai,Normal,Female,Sports And Travel,24.88,8.0,9.95,208.99,2027-01-26,21:22:00,Credit Card,199.04,4.7619,9.95,3.3,9.95,2027,1,January,Tuesday,26,21,208.99,0.0
INV-10081,C,Mumbai,Member,Male,Health And Beauty,35.17,3.0,5.28,110.79,2026-03-22,09:16:00,Credit Card,105.51,4.7619,5.28,4.9,5.28,2026,3,March,Sunday,22,9,110.79,0.0
INV-10366,B,Nashik,Normal,Male,Health And Beauty,28.89,6.0,8.67,182.01,2027-01-01,16:26:00,Upi,173.34,4.7619,8.67,4.6,8.67,2027,1,January,Friday,1,16,182.01,0.0
INV-10460,A,Pune,Normal,Female,Fashion Accessories,74.8,1.0,3.74,78.54,2027-04-05,11:56:00,Credit Card,74.8,4.7619,3.74,3.7,3.74,2027,4,April,Monday,5,11,78.54,0.0
INV-10011,A,Pune,Normal,Male,Fashion Accessories,50.12,3.0,7.52,157.88,2026-01-11,09:23:00,Credit Card,150.36,4.7619,7.52,5.0,7.52,2026,1,January,Sunday,11,9,157.88,0.0
INV-10447,C,Mumbai,Member,Male,Electronic Accessories,80.89,5.0,20.22,424.67,2027-03-23,11:52:00,Cash,404.45,4.7619,20.22,4.8,20.22,2027,3,March,Tuesday,23,11,424.67,0.0
INV-10142,A,Pune,Member,Female,Food And Beverages,25.36,1.0,1.27,26.63,2026-05-22,17:20:00,Cash,25.36,4.7619,1.27,3.6,1.27,2026,5,May,Friday,22,17,26.63,0.0
INV-10064,B,Nashik,Member,Female,Fashion Accessories,70.44,7.0,24.65,517.73,2026-03-05,21:18:00,Credit Card,493.08,4.7619,24.65,3.7,24.65,2026,3,March,Thursday,5,21,517.73,0.0
INV-10065,A,Pune,Member,Male,Electronic Accessories,18.36,5.0,4.59,96.39,2026-03-06,19:37:00,Upi,91.8,4.7619,4.59,3.5,4.59,2026,3,March,Friday,6,19,96.39,0.0
INV-10062,A,Pune,Member,Female,Fashion Accessories,79.17,6.0,23.75,498.77,2026-03-03,21:31:00,Upi,475.02,4.7619,23.75,5.0,23.75,2026,3,March,Tuesday,3,21,498.77,0.0
INV-10248,C,Mumbai,Normal,Male,Electronic Accessories,53.04,8.0,21.22,445.54,2026-09-05,17:45:00,Upi,424.32,4.7619,21.22,3.0,21.22,2026,9,September,Saturday,5,17,445.54,0.0
INV-10397,C,Mumbai,Member,Female,Home And Lifestyle,80.43,1.0,4.02,84.45,2027-02-01,14:35:00,Credit Card,80.43,4.7619,4.02,3.8,4.02,2027,2,February,Monday,1,14,84.45,0.0
INV-10156,A,Pune,Member,Female,Electronic Accessories,75.19,8.0,30.08,631.6,2026-06-05,12:30:00,Credit Card,601.52,4.7619,30.08,3.4,30.08,2026,6,June,Friday,5,12,631.6,0.0
INV-10054,C,Mumbai,Normal,Female,Health And Beauty,37.08,9.0,16.69,350.41,2026-02-23,10:39:00,Credit Card,333.72,4.7619,16.69,4.5,16.69,2026,2,February,Monday,23,10,350.41,0.0
INV-10318,A,Pune,Member,Male,Food And Beverages,83.36,4.0,16.67,350.11,2026-11-14,19:33:00,Upi,333.44,4.7619,16.67,5.0,16.67,2026,11,November,Saturday,14,19,350.11,0.0
INV-10440,A,Pune,Normal,Male,Home And Lifestyle,31.31,9.0,14.09,295.88,2027-03-16,18:32:00,Cash,281.79,4.7619,14.09,4.8,14.09,2027,3,March,Tuesday,16,18,295.88,0.0
INV-10474,C,Mumbai,Member,Female,Home And Lifestyle,48.58,2.0,4.86,102.02,2027-04-19,09:04:00,Cash,97.16,4.7619,4.86,4.5,4.86,2027,4,April,Monday,19,9,102.02,0.0
INV-10082,B,Nashik,Normal,Female,Electronic Accessories,94.81,9.0,42.66,895.95,2026-03-23,17:29:00,Credit Card,853.29,4.7619,42.66,3.4,42.66,2026,3,March,Monday,23,17,895.95,0.0
INV-10100,A,Pune,Member,Male,Electronic Accessories,12.06,3.0,1.81,37.99,2026-04-10,19:22:00,Upi,36.18,4.7619,1.81,5.0,1.81,2026,4,April,Friday,10,19,37.99,0.0
INV-10157,C,Mumbai,Member,Female,Food And Beverages,81.29,8.0,32.52,682.84,2026-06-06,10:15:00,Credit Card,650.32,4.7619,32.52,3.8,32.52,2026,6,June,Saturday,6,10,682.84,0.0
INV-10009,B,Nashik,Normal,Male,Sports And Travel,70.83,10.0,35.42,743.72,2026-01-09,18:35:00,Upi,708.3,4.7619,35.42,4.2,35.42,2026,1,January,Friday,9,18,743.72,0.0
INV-10482,C,Mumbai,Normal,Male,Health And Beauty,36.15,7.0,12.65,265.7,2027-04-27,15:03:00,Cash,253.05,4.7619,12.65,2.8,12.65,2027,4,April,Tuesday,27,15,265.7,0.0
INV-10274,C,Mumbai,Member,Female,Fashion Accessories,38.52,4.0,7.7,161.78,2026-10-01,12:34:00,Cash,154.08,4.7619,7.7,3.4,7.7,2026,10,October,Thursday,1,12,161.78,0.0
